6.6702 Motor1@0.0 Motor2@-0.122 ImgX@328 ImgY@303 F@3900.0 Strain@0.06910000000000001
6.6990 Motor1@0.0 Motor2@-0.124 ImgX@327 ImgY@303 F@3960.0 Strain@0.0688
6.7337 Motor1@0.0 Motor2@-0.128 ImgX@327 ImgY@303 F@3960.0 Strain@0.0692
6.7630 Motor1@0.0 Motor2@-0.130 ImgX@326 ImgY@304 F@4020.0 Strain@0.0689
6.7957 Motor1@0.0 Motor2@-0.134 ImgX@326 ImgY@304 F@4020.0 Strain@0.0693
6.8250 Motor1@0.0 Motor2@-0.138 ImgX@325 ImgY@304 F@4080.0 Strain@0.0692
6.8587 Motor1@0.0 Motor2@-0.141 ImgX@325 ImgY@304 F@4080.0 Strain@0.06949999999999998
6.8880 Motor1@0.0 Motor2@-0.142 ImgX@325 ImgY@303 F@4080.0 Strain@0.0696
6.9211 Motor1@0.0 Motor2@-0.146 ImgX@325 ImgY@303 F@4080.0 Strain@0.06999999999999999
6.9489 Motor1@0.0 Motor2@-0.150 ImgX@324 ImgY@304 F@4140.0 Strain@0.0699
6.9826 Motor1@0.0 Motor2@-0.152 ImgX@324 ImgY@304 F@4140.0 Strain@0.07010000000000001
7.0139 Motor1@0.0 Motor2@-0.156 ImgX@323 ImgY@304 F@4200.0 Strain@0.07
7.0451 Motor1@0.0 Motor2@-0.158 ImgX@323 ImgY@304 F@4200.0 Strain@0.07020000000000001
7.0739 Motor1@0.0 Motor2@-0.162 ImgX@323 ImgY@303 F@4200.0 Strain@0.07060000000000001
7.1081 Motor1@0.0 Motor2@-0.167 ImgX@323 ImgY@303 F@4200.0 Strain@0.0711
7.1384 Motor1@0.0 Motor2@-0.169 ImgX@321 ImgY@303 F@4320.0 Strain@0.0703
7.1711 Motor1@0.0 Motor2@-0.172 ImgX@321 ImgY@303 F@4320.0 Strain@0.07060000000000001
7.1994 Motor1@0.0 Motor2@-0.176 ImgX@321 ImgY@304 F@4320.0 Strain@0.07100000000000001
7.2321 Motor1@0.0 Motor2@-0.179 ImgX@321 ImgY@304 F@4320.0 Strain@0.0713
7.2614 Motor1@0.0 Motor2@-0.180 ImgX@319 ImgY@304 F@4440.0 Strain@0.0704
7.2931 Motor1@0.0 Motor2@-0.182 ImgX@319 ImgY@304 F@4440.0 Strain@0.07060000000000001
7.3244 Motor1@0.0 Motor2@-0.186 ImgX@320 ImgY@304 F@4380.0 Strain@0.07150000000000001
7.3571 Motor1@0.0 Motor2@-0.191 ImgX@320 ImgY@304 F@4380.0 Strain@0.072
7.3878 Motor1@0.0 Motor2@-0.193 ImgX@320 ImgY@303 F@4380.0 Strain@0.0722
7.4211 Motor1@0.0 Motor2@-0.197 ImgX@320 ImgY@303 F@4380.0 Strain@0.0726
7.4498 Motor1@0.0 Motor2@-0.200 ImgX@318 ImgY@303 F@4500.0 Strain@0.0719
7.4801 Motor1@0.0 Motor2@-0.204 ImgX@318 ImgY@303 F@4500.0 Strain@0.0723
7.5133 Motor1@0.0 Motor2@-0.205 ImgX@318 ImgY@304 F@4500.0 Strain@0.07239999999999999
7.5446 Motor1@0.0 Motor2@-0.211 ImgX@318 ImgY@304 F@4500.0 Strain@0.073
7.5738 Motor1@0.0 Motor2@-0.211 ImgX@317 ImgY@304 F@4560.0 Strain@0.0725
7.6076 Motor1@0.0 Motor2@-0.216 ImgX@317 ImgY@304 F@4560.0 Strain@0.07300000000000001
7.6378 Motor1@0.0 Motor2@-0.220 ImgX@316 ImgY@304 F@4620.0 Strain@0.0729
7.6711 Motor1@0.0 Motor2@-0.222 ImgX@316 ImgY@304 F@4620.0 Strain@0.07310000000000001
7.6998 Motor1@0.0 Motor2@-0.223 ImgX@316 ImgY@303 F@4620.0 Strain@0.0732
7.7336 Motor1@0.0 Motor2@-0.228 ImgX@316 ImgY@303 F@4620.0 Strain@0.07370000000000002
7.7633 Motor1@0.0 Motor2@-0.229 ImgX@315 ImgY@303 F@4680.0 Strain@0.0733
7.7961 Motor1@0.0 Motor2@-0.232 ImgX@315 ImgY@303 F@4680.0 Strain@0.07360000000000001
7.8243 Motor1@0.0 Motor2@-0.236 ImgX@314 ImgY@303 F@4740.0 Strain@0.07349999999999998
7.8556 Motor1@0.0 Motor2@-0.238 ImgX@314 ImgY@303 F@4740.0 Strain@0.07370000000000002
7.8878 Motor1@0.0 Motor2@-0.245 ImgX@313 ImgY@303 F@4800.0 Strain@0.0739
7.9176 Motor1@0.0 Motor2@-0.246 ImgX@313 ImgY@303 F@4800.0 Strain@0.07400000000000001
7.9488 Motor1@0.0 Motor2@-0.249 ImgX@312 ImgY@304 F@4860.0 Strain@0.0738
7.9816 Motor1@0.0 Motor2@-0.253 ImgX@312 ImgY@304 F@4860.0 Strain@0.0742
8.0133 Motor1@0.0 Motor2@-0.257 ImgX@312 ImgY@303 F@4860.0 Strain@0.0746
8.0465 Motor1@0.0 Motor2@-0.259 ImgX@312 ImgY@303 F@4860.0 Strain@0.0748
8.0743 Motor1@0.0 Motor2@-0.262 ImgX@311 ImgY@303 F@4920.0 Strain@0.07460000000000003
8.1056 Motor1@0.0 Motor2@-0.264 ImgX@311 ImgY@303 F@4920.0 Strain@0.0748
8.1388 Motor1@0.0 Motor2@-0.267 ImgX@312 ImgY@304 F@4860.0 Strain@0.0756
8.1705 Motor1@0.0 Motor2@-0.271 ImgX@312 ImgY@304 F@4860.0 Strain@0.076
8.1993 Motor1@0.0 Motor2@-0.273 ImgX@309 ImgY@304 F@5040.0 Strain@0.07470000000000002
